Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",15.000000,11.600000,-90.000000,top
"C2","10uF","C_0805_2012Metric",17.000000,11.600000,-90.000000,top
"C3","1uF","C_0402_1005Metric",35.250000,14.600000,180.000000,top
"C4","1uF","C_0402_1005Metric",5.700000,23.600000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",7.250000,21.650000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",7.792500,17.255000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",8.200000,15.100000,0.000000,top
"C8","10uF","C_0805_2012Metric",26.750000,7.675000,0.000000,top
"C9","10uF","C_0805_2012Metric",31.150000,7.675000,180.000000,top
"C10","10uF","C_0805_2012Metric",35.150000,7.675000,0.000000,top
"C11","10uF","C_0805_2012Metric",39.550000,7.675000,180.000000,top
"C12","47pF","C_0402_1005Metric",6.792500,17.255000,-90.000000,top
"C13","47pF","C_0402_1005Metric",7.100000,20.650000,0.000000,top
"C14","1uF","C_0402_1005Metric",3.800000,10.800000,-90.000000,top
"C15","1uF","C_0402_1005Metric",20.600000,12.000000,90.000000,top
"C16","1uF","C_0402_1005Metric",22.000000,12.000000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",24.900000,21.285000,-90.000000,top
"C18","0.1uF","C_0402_1005Metric",23.900000,21.300000,-90.000000,top
"C19","0.1uF","C_0402_1005Metric",21.935000,21.200000,0.000000,top
"C20","0.1uF","C_0402_1005Metric",38.200000,20.200000,90.000000,top
"C21","0.1uF","C_0402_1005Metric",18.780000,45.100000,0.000000,top
"C22","0.1uF","C_0402_1005Metric",16.800000,45.100000,0.000000,top
"C23","1uF","C_0402_1005Metric",17.620000,38.000000,180.000000,top
"C24","0.1uF","C_0402_1005Metric",5.700000,13.900000,-90.000000,top
"C25","1uF","C_0402_1005Metric",22.800000,22.700000,90.000000,top
"C26","0.1uF","C_0402_1005Metric",21.800000,22.685000,-90.000000,top
"C27","1uF","C_0402_1005Metric",16.750000,31.650000,-90.000000,top
"C28","10uF","C_0805_2012Metric",41.150000,13.550000,180.000000,top
"C29","10uF","C_0805_2012Metric",38.350000,12.650000,90.000000,top
"C30","10uF","C_0805_2012Metric",41.150000,9.700000,180.000000,top
"C31","10uF","C_0805_2012Metric",41.150000,11.600000,180.000000,top
"C32","0.1uF","C_0402_1005Metric",46.600000,15.915000,90.000000,top
"C33","NC","C_0402_1005Metric",48.700000,16.500000,180.000000,top
"C34","1uF","C_0402_1005Metric",11.100000,9.300000,0.000000,top
"C35","1uF","C_0402_1005Metric",13.250000,9.300000,0.000000,top
"C36","470pF","C_0402_1005Metric",8.200000,14.100000,180.000000,top
"C37","1uF","C_0402_1005Metric",14.900000,29.000000,180.000000,top
"C38","22nF","C_0402_1005Metric",40.100000,16.200000,180.000000,top
"C39","1uF","C_0402_1005Metric",10.900000,30.300000,0.000000,top
"C40","470pF","C_0402_1005Metric",10.500000,28.500000,90.000000,top
"C41","1uF","C_0402_1005Metric",4.600000,29.300000,180.000000,top
"C42","39pF","C_0402_1005Metric",40.600000,17.750000,-90.000000,top
"C43","10uF","C_0805_2012Metric",15.500000,26.000000,-90.000000,top
"C44","22nF","C_0402_1005Metric",11.400000,28.500000,90.000000,top
"C45","1uF","C_0402_1005Metric",11.400000,23.600000,0.000000,top
"C46","10uF","C_0805_2012Metric",39.900000,27.900000,90.000000,top
"C47","10uF","C_0805_2012Metric",37.300000,22.500000,180.000000,top
"C48","3.9uF","C_0402_1005Metric",39.550000,17.750000,90.000000,top
"D1","LED","LED_0603_1608Metric",11.800000,15.350000,-90.000000,top
"D2","LED","LED_0603_1608Metric",13.270000,15.350000,-90.000000,top
"D3","LED","LED_0603_1608Metric",1.800000,25.300000,0.000000,top
"D4","LED","LED_0603_1608Metric",1.800000,28.240000,0.000000,top
"D5","LED","LED_0603_1608Metric",1.800000,26.770000,0.000000,top
"D6","LED","LED_0603_1608Metric",1.800000,29.710000,0.000000,top
"D7","D_Schottky","D_SOD-323F",8.850000,23.100000,0.000000,top
"J1","DRIVE_MOTOR_R","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",27.700000,3.900000,0.000000,top
"J2","DRIVE_MOTOR_L","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",36.100000,3.900000,0.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",2.700000,19.900000,-90.000000,top
"J4","ICSP","PinHeader_2x03_P2.54mm_Vertical",33.800000,19.800000,-90.000000,top
"J5","SIG","PinHeader_1x04_P2.54mm_Vertical",22.925200,6.900200,-90.000000,top
"J6","+6V","PinHeader_1x04_P2.54mm_Vertical",22.925200,4.360200,-90.000000,top
"J7","GND","PinHeader_1x04_P2.54mm_Vertical",22.925200,1.820200,-90.000000,top
"J8","ESC","AMASS_XT30U-M_1x02_P5.0mm_Vertical",46.850000,32.900000,180.000000,top
"J9","BATTERY","AMASS_XT30U-M_1x02_P5.0mm_Vertical",46.850000,22.900000,180.000000,top
"J10","WS2812b","PinHeader_1x03_P2.54mm_Vertical",10.225200,6.900200,0.000000,top
"L1","3.3uH","INDPM5355X310N",46.427500,11.850000,0.000000,top
"Q1","S8050","SOT-23",18.800000,31.052500,90.000000,top
"Q2","S8050","SOT-23",18.362500,25.662500,-90.000000,top
"Q3","NC","SOT-23",37.400000,17.200000,90.000000,top
"Q4","AONR21321","TRANS_AONR21321",42.550000,27.950000,90.000000,top
"Q5","S8050","SOT-23",46.800000,28.000000,180.000000,top
"Q6","S8050","SOT-23",8.150000,11.700000,90.000000,top
"R1","12k","R_0402_1005Metric",4.700000,30.250000,0.000000,top
"R2","12k","R_0402_1005Metric",19.500000,39.000000,180.000000,top
"R3","470","R_0402_1005Metric",6.800000,30.300000,0.000000,top
